0,None
1,Happiness
2,Time (Morning/noon)
3,Time (Night)
4,Level Up
5,Trade
6,Trade with Held Item:
7,Trade for opposite Escavalier / Accelgor
8,Hold Item
9,Level Up (Attack > Defense)
10,Level Up (Attack = Defense)
11,Level Up (Attack < Defense)
12,Level Up (Personality < 5 into Silcoon)
13,Level Up (Personality > 5 into Cascoon)
14,Level Up (Ninjask)
15,Level Up (Shedinja)
16,Level Up (Beauty)
17,Hold Item (Male)
18,Hold Item (Female)
19,Hold Item (Day time)
20,Hold Item (Night time)
21,Level Up with move
22,Level up with pokemon
23,Level Up (Male into Mothim)
24,Level Up (Female into Wormadam)
25,Level Up in Chargestone Cave
26,Level Up in Pinwheel Forest
27,Level Up in Twist Mountain Basement
